"filename", "language", "JavaScript", "Markdown", "JSON", "Python", "JavaScript JSX", "CSS", "HTML", "YAML", "Docker", "TOML", "pip requirements", "comment", "blank", "total"
"/Users/mago/Documents/messenger/frontend/src/components/menu/SideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 5, 70
"/Users/mago/Documents/messenger/frontend/src/components/menu/UserChatsMenu.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 3, 71
"/Users/mago/Documents/messenger/frontend/src/components/modals/CreateGroupModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 14, 176
"/Users/mago/Documents/messenger/frontend/src/components/modals/CreatePostModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 1, 12, 123
"/Users/mago/Documents/messenger/frontend/src/components/profile/FriendList.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/mago/Documents/messenger/frontend/src/components/profile/UserProfileInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 6, 129
"/Users/mago/Documents/messenger/frontend/src/components/profile/following/FollowindItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/mago/Documents/messenger/frontend/src/components/profile/following/FollowingList.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"/Users/mago/Documents/messenger/frontend/src/components/profile/navigation/navigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 4, 65
"/Users/mago/Documents/messenger/frontend/src/components/profile/tabs/AlbumsTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/mago/Documents/messenger/frontend/src/components/profile/tabs/MusicTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/mago/Documents/messenger/frontend/src/components/profile/tabs/PhotosTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"/Users/mago/Documents/messenger/frontend/src/components/ui/AvatarComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mago/Documents/messenger/frontend/src/components/ui/button.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/Users/mago/Documents/messenger/frontend/src/index.css", "CSS", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 9, 50
"/Users/mago/Documents/messenger/frontend/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 2, 37
"/Users/mago/Documents/messenger/frontend/src/pages/authPages/LoginPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/mago/Documents/messenger/frontend/src/pages/authPages/RegisterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/mago/Documents/messenger/frontend/src/pages/mainPages/MainPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 2, 38
"/Users/mago/Documents/messenger/frontend/src/pages/mainPages/sidebarPages/ChatPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 2, 11, 127
"/Users/mago/Documents/messenger/frontend/src/pages/mainPages/sidebarPages/PostsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/mago/Documents/messenger/frontend/src/pages/mainPages/sidebarPages/Profile.jsx", "JavaScript JSX", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"/Users/mago/Documents/messenger/frontend/src/pages/mainPages/sidebarPages/UserGroups.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 7, 77
"/Users/mago/Documents/messenger/frontend/src/pages/otherPages/GroupPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/mago/Documents/messenger/frontend/src/requests/auth.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32
"/Users/mago/Documents/messenger/frontend/src/requests/chats.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/mago/Documents/messenger/frontend/src/requests/groups.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/mago/Documents/messenger/frontend/src/requests/posts.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 49
"/Users/mago/Documents/messenger/frontend/src/requests/users.js", "JavaScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 62
"/Users/mago/Documents/messenger/frontend/src/utils/AuthChecker.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/mago/Documents/messenger/frontend/src/utils/users.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/Users/mago/Documents/messenger/frontend/tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"/Users/mago/Documents/messenger/frontend/vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/mago/Documents/messenger/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mago/Documents/messenger/tests/conftest.py", "Python", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 12, 48
"/Users/mago/Documents/messenger/tests/test_auth.py", "Python", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 20, 121
"/Users/mago/Documents/messenger/tests/test_posts.py", "Python", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 23, 125
"/Users/mago/Documents/messenger/tests/test_users.py", "Python", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 22, 82
"Total", "-", 185, 323, 7096, 2212, 1875, 40, 14, 31, 5, 12, 37, 15, 943, 12788
